variable,label
1,Semence certifiée (étiquette bleue du SOC) ou G4 (étiquette blanche)
2,Semence de ferme produite sur l'exploitation
3,Semence de ferme produite par un autre agriculteur
4,Mélange dans le semoir de semences certifiées et de semences de ferme
