modality_code,label
1:concentration (%)2:quantité (kg/ha),1:concentration (%)2:quantité (kg/ha)
1:concentration (%)2:quantité (kg/ha),1:concentration (%)2:quantité (kg/ha)
1,concentration (%)2:quantité (kg/ha)
