modality_code,label
0:Aucun tri1:Tri par l'agriculteur2:Tri par une entreprise,0:Aucun tri1:Tri par l'agriculteur2:Tri par une entreprise
0:Aucun tri1:Tri par l'agriculteur2:Tri par une entreprise,0:Aucun tri1:Tri par l'agriculteur2:Tri par une entreprise
0,Aucun tri1:Tri par l'agriculteur2:Tri par une entreprise
Cuma (trieur ambulant,Cuma (trieur ambulant
Cuma (trieur ambulant,Cuma (trieur ambulant
Cuma (trieur ambulant,Cuma (trieur ambulant
en poste fixe),en poste fixe)
en poste fixe),en poste fixe)
en poste fixe),en poste fixe)
