SOURCE_FINALE,Source finale de la collecte
IPSOS,Collecte lot 1 IPSOS tronc commun
BVA,Collecte lot 2 BVA tronc commun
SRISE,Collecte SSP échantillon + Collecte SSP tronc commun du complément de collecte IPSOS et BVA
