variable,label
1,Grandes cultures2 - Maraîchage et horticulture3 - Tubercules4 - Cultures fruitières et autres cultures permanentes5 - Elevage bovin6 - Elevage ovins
caprins et autres herbivores7,Elevage hors sol8 - Autre
