Database,table,variable,modality_code,label
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5498,SARL unipersonnelle
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5499,Société à responsabilité limitée (sans autre indication)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5505,SA à participation ouvrière à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5510,SA nationale à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5515,SA d'économie mixte à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5520,Fonds à forme sociétale à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5522,SA immobilière pour le commerce et l'industrie (SICOMI) à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5525,SA immobilière d'investissement à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5530,SA d'aménagement foncier et d'équipement rural (SAFER) à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5531,Société anonyme mixte d'intérêt agricole (SMIA) à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5532,SA d'intérêt collectif agricole (SICA) à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5542,SA d'attribution à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5543,SA coopérative de construction à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5546,SA de HLM à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5547,SA coopérative de production de HLM à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5548,SA de crédit immobilier à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5551,SA coopérative de consommation à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5552,SA coopérative de commerçants-détaillants à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5553,SA coopérative artisanale à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5554,SA coopérative (d'intérêt) maritime à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5555,SA coopérative de transport à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5558,SA coopérative ouvrière de production (SCOP) à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5559,SA union de sociétés coopératives à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5560,Autre SA coopérative à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5570,Société de Participations Financières de Profession Libérale Société anonyme à conseil d'administration (SPFPL SA à conseil d'administration)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5585,Société d'exercice libéral à forme anonyme à conseil d'administration
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5599,SA à conseil d'administration (s.a.i.)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5605,SA à participation ouvrière à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5610,SA nationale à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5615,SA d'économie mixte à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5620,Fonds à forme sociétale à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5622,SA immobilière pour le commerce et l'industrie (SICOMI) à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5625,SA immobilière d'investissement à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5630,Safer anonyme à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5631,SA mixte d'intérêt agricole (SMIA)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5632,SA d'intérêt collectif agricole (SICA)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5642,SA d'attribution à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5643,SA coopérative de construction à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5646,SA de HLM à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5647,Société coopérative de production de HLM anonyme à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5648,SA de crédit immobilier à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5651,SA coopérative de consommation à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5652,SA coopérative de commerçants-détaillants à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5653,SA coopérative artisanale à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5654,SA coopérative d'intérêt maritime à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5655,SA coopérative de transport à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5658,SA coopérative ouvrière de production (SCOP) à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5659,SA union de sociétés coopératives à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5660,Autre SA coopérative à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5670,Société de Participations Financières de Profession Libérale Société anonyme à Directoire (SPFPL SA à directoire)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5685,Société d'exercice libéral à forme anonyme à directoire
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5699,SA à directoire (s.a.i.)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5710,"SAS, société par actions simplifiée"
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5720,Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5770,Société de Participations Financières de Profession Libérale Société par actions simplifiée (SPFPL SAS)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5785,Société d'exercice libéral par action simplifiée
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,5800,Société européenne
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6100,Caisse d'Épargne et de Prévoyance
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6210,Groupement européen d'intérêt économique (GEIE)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6220,Groupement d'intérêt économique (GIE)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6316,Coopérative d'utilisation de matériel agricole en commun (CUMA)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6317,Société coopérative agricole
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6318,Union de sociétés coopératives agricoles
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6411,Société d'assurance à forme mutuelle
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6511,Sociétés Interprofessionnelles de Soins Ambulatoires 
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6521,Société civile de placement collectif immobilier (SCPI)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6532,Société civile d'intérêt collectif agricole (SICA)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6533,Groupement agricole d'exploitation en commun (GAEC)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6534,Groupement foncier agricole
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6535,Groupement agricole foncier
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6536,Groupement forestier
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6537,Groupement pastoral
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6538,Groupement foncier et rural
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6539,Société civile foncière
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6540,Société civile immobilière
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6541,Société civile immobilière de construction-vente
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6542,Société civile d'attribution
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6543,Société civile coopérative de construction
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6544,Société civile immobilière d' accession progressive à la propriété
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6551,Société civile coopérative de consommation
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6554,Société civile coopérative d'intérêt maritime
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6558,Société civile coopérative entre médecins
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6560,Autre société civile coopérative
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6561,SCP d'avocats
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6562,SCP d'avocats aux conseils
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6563,SCP d'avoués d'appel
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6564,SCP d'huissiers
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6565,SCP de notaires
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6566,SCP de commissaires-priseurs
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6567,SCP de greffiers de tribunal de commerce
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6568,SCP de conseils juridiques
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6569,SCP de commissaires aux comptes
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6571,SCP de médecins
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6572,SCP de dentistes
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6573,SCP d'infirmiers
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6574,SCP de masseurs-kinésithérapeutes
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6575,SCP de directeurs de laboratoire d'analyse médicale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6576,SCP de vétérinaires
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6577,SCP de géomètres experts
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6578,SCP d'architectes
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6585,Autre société civile professionnelle
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6588,Société civile laitière
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6589,Société civile de moyens
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6595,Caisse locale de crédit mutuel
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6596,Caisse de crédit agricole mutuel
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6597,Société civile d'exploitation agricole
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6598,Exploitation agricole à responsabilité limitée
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6599,Autre société civile
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,6901,Autre personne de droit privé inscrite au registre du commerce et des sociétés
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7111,Autorité constitutionnelle
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7112,Autorité administrative ou publique indépendante
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7113,Ministère
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7120,Service central d'un ministère
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7150,Service du ministère de la Défense
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7160,Service déconcentré à compétence nationale d'un ministère (hors Défense)
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7171,Service déconcentré de l'État à compétence (inter) régionale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7172,Service déconcentré de l'État à compétence (inter) départementale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7179,(Autre) Service déconcentré de l'État à compétence territoriale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7190,Ecole nationale non dotée de la personnalité morale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7210,Commune et commune nouvelle
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7220,Département
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7225,Collectivité et territoire d'Outre Mer
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7229,(Autre) Collectivité territoriale
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7230,Région
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7312,Commune associée et commune déléguée
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7313,Section de commune
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7314,Ensemble urbain
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7321,Association syndicale autorisée
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7322,Association foncière urbaine
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7323,Association foncière de remembrement
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7331,Établissement public local d'enseignement
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7340,Pôle métropolitain
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7341,Secteur de commune
RA_2020,IDENTIFICATIION,IDENTIFICATIION__CATE_JUR_1,7342,District urbain
