modality_code,label
1,laissés sur place (en surface) et broyés
2,laissés sur place (en surface) non broyés
3,"laissés sur place, enfouis superficiellement (<= 15 cm)"
4,"laissés sur place, non broyés et enfouis profondément (> 15 cm)"
5,enlevés
6,brûlés
8,ne sait pas
9,Pas de résidus (sans objet)
