variable,label
S,Redevable de la taxe d'habitation en taxation simple
C,Redevable de la taxe d'habitation en taxation conjointe
R,Rattachement au sens de la de la taxe d'habitation
I,Non affecté dans un local à l'adresse
,Pas de mise à jour
