variable,label
1,Semence certifiée (étiquette bleue SOC) ou G4 (étiquette blanche) ou plant certifié (pour Pomme de terre)
2,Mélange dans le semoir de semences certifiées et de ferme ou plant officiellement contrôlé (pour Pomme de terre)
3,Semence de ferme ou plant produit sur l'exploitation ou une exploitation voisine (pour Pomme de terre)
