variable,label
1,Canne issue d'une repousse de canne coupée en 2010
2,Plantation de canne réalisée uniquement pour prélever des boutures
3,Canne nouvellement plantée en 2009 ou 2010 et coupée en 2011
4,Canne nouvellement plantée en 2009 ou 2010 et pas encore coupée
