variable,label
00,Alsace
01,Aquitaine
02,Beaujolais
03,Bourgogne
04,Champagne
05,Charentes
06,Languedoc-Roussillon
07,Midi-Pyrénées
08,Provence-Alpes-Côte d Azur
09,Val-de-Loire
10,Côtes-du-Rhône
11,Corse
12,Bugey-Savoie
