variable,label
00,Alsace
01,Beaujolais
02,Bordelais
03,Bourgogne
04,Champagne
05,Charentes
06,Languedoc hors PO
07,Pyrénées-Orientales
08,PACA 83 84
09,Val de Loire hors Sancerre
10,Bouches-du-Rhône
11,Dordogne
13,Gers
14,Gaillac
15,Cahors
16,Lot-et-Garonne
17,CDR-nord
18,CDR-sud
19,Cher
20,Corse
21,Bugey-Savoie
