modality_code,label
1:Sem?e depuis 5 ? 10 ans (? l?automne 2007,1:Sem?e depuis 5 ? 10 ans (? l?automne 2007
1:Sem?e depuis 5 ? 10 ans (? l?automne 2007,1:Sem?e depuis 5 ? 10 ans (? l?automne 2007
1,Sem?e depuis 5 ? 10 ans (? l?automne 2007
apr?s et avant l?automne 2012)2:Sem?e depuis plus de 10 ans (avant l?automne 2007)3:Naturelle,apr?s et avant l?automne 2012)2:Sem?e depuis plus de 10 ans (avant l?automne 2007)3:Naturelle
apr?s et avant l?automne 2012)2:Sem?e depuis plus de 10 ans (avant l?automne 2007)3:Naturelle,apr?s et avant l?automne 2012)2:Sem?e depuis plus de 10 ans (avant l?automne 2007)3:Naturelle
apr?s et avant l?automne 2012)2,Sem?e depuis plus de 10 ans (avant l?automne 2007)3:Naturelle
