modality_code,label
1:vinifiée en cave particulière2:vinifiée en coopérative3:vendue en frais (raisin),1:vinifiée en cave particulière2:vinifiée en coopérative3:vendue en frais (raisin)
1:vinifiée en cave particulière2:vinifiée en coopérative3:vendue en frais (raisin),1:vinifiée en cave particulière2:vinifiée en coopérative3:vendue en frais (raisin)
1,vinifiée en cave particulière2:vinifiée en coopérative3:vendue en frais (raisin)
en jus ou en moûts,en jus ou en moûts
en jus ou en moûts,en jus ou en moûts
en jus ou en moûts,en jus ou en moûts
