modality_code,label
Pulvérisateur porté =1,Pulvérisateur porté =1
Pulvérisateur porté,1
pulvérisateur traîné =2,pulvérisateur traîné =2
pulvérisateur traîné,2
pulvérisateur automoteur = 3,pulvérisateur automoteur = 3
pulvérisateur automoteur,3
Portatif (manuel ou motorisé) = 4,Portatif (manuel ou motorisé) = 4
Portatif (manuel ou motorisé),4
