modality_code,label
Herbicide : Insecticide : Fongicide : Autre,Herbicide : Insecticide : Fongicide : Autre
Herbicide : Insecticide : Fongicide : Autre,Herbicide : Insecticide : Fongicide : Autre
Herbicide,Insecticide : Fongicide : Autre
