modality_code,label
1,au dessus de la végétation
2,dans le rang  (descentes interlignes adaptées au face par face)
3,mixte (à la fois dans le rang et au dessus de la végétation de type voûte mains/canons)
4,aéroconvecteurs de type arboriculture
5,confinée avec panneaux récupérateurs
6,non confinée avec panneaux récupérateurs
