variable,label
0,Inférieur à un revenu annuel de 2500 euros
1,Salaire
3,Retraite
4,Pensions alimentaires
5,Bénéfices agricoles
6,Bénéfices industriels et commerciaux
7,Bénéfices non commerciaux
2,"Chômage, préretraite"
