variable,label
1,Au dessus de la végétation
2,Dans le rang
3,Mixte (dans le rang et au dessus de la végétation de type voûte mains/canons)
4,Aéroconvecteurs (de type arboriculture)
5,Confinée avec panneaux récupérateurs
