modality_code,label
1,1
1,1
1,1
Sous abris haut 0,Sous abris haut 0
Sous abris haut 0,Sous abris haut 0
Sous abris haut 0,Sous abris haut 0
Sans abris haut,Sans abris haut
Sans abris haut,Sans abris haut
Sans abris haut,Sans abris haut
