variable,label
,Non soumis à la loi de 48
2A ou 2B ou 2C,Soumis à la loi de 48 et construction d'assez bonne qualité
3A ou 3B,Soumis à la loi de 48 et construction ordinaire avec peu de confort
4,"Soumis à la loi de 48 et construction sans aucun équipement, indécent"
