modality_code,label
1,1
1,1
1,1
g/kg2,g/kg2
g/kg2,g/kg2
g/kg2,g/kg2
g/l3,g/l3
g/l3,g/l3
g/l3,g/l3
%5,%5
%5,%5
%5,%5
autre,autre
autre,autre
autre,autre
