variable,label
900,Autres cultures
910,Céréales (y compris semences)
920,"Cultures industrielles hors canne (oléagineux, plantes textiles, …)"
922,Canne à sucre enquêtée
923,Autre canne à sucre
930,"Légumes secs, légumes frais, fraise, melon"
940,Tubercules
950,"Fourrages, prairies"
961,"Fleurs et plantes ornementales, pépinières"
962,Fruits
963,Vignes
970,Jachères
988,Ne sait pas
990,Friche
