modality_code,label
1:Mini,1:Mini
1:Mini,1:Mini
1,Mini
moto coupeuse2:Coupeuse 'p?i'3:Coupeuse tron?onneuse4:Autres types de mat?riel,moto coupeuse2:Coupeuse 'p?i'3:Coupeuse tron?onneuse4:Autres types de mat?riel
moto coupeuse2:Coupeuse 'p?i'3:Coupeuse tron?onneuse4:Autres types de mat?riel,moto coupeuse2:Coupeuse 'p?i'3:Coupeuse tron?onneuse4:Autres types de mat?riel
moto coupeuse2,Coupeuse 'p?i'3:Coupeuse tron?onneuse4:Autres types de mat?riel
