"Base Tous Salariés fichier Etablissements - 2021"





etab
"Fichier national « Établissements » enrichi, contenant des données 2021 par établissement, des données de niveau entreprise redescendues au niveau établissement et des données de niveau poste agrégées au niveau établissement"

"Nom de la variable";Libellé;Modalités
nb_typ_emploi_s;"Nombre de stagiaires (postes annexes et non annexes)";
nbp_conv_coll_1;"Nombre de postes annexes et non annexes de la 1ère convention collective";
nbp_conv_coll_10;"Nombre de postes annexes et non annexes de la 10ème convention collective";
nbp_conv_coll_2;"Nombre de postes annexes et non annexes de la 2ème convention collective";
nbp_conv_coll_3;"Nombre de postes annexes et non annexes de la 3ème convention collective";
nbp_conv_coll_4;"Nombre de postes annexes et non annexes de la 4ème convention collective";
nbp_conv_coll_5;"Nombre de postes annexes et non annexes de la 5ème convention collective";
nbp_conv_coll_6;"Nombre de postes annexes et non annexes de la 6ème convention collective";
nbp_conv_coll_7;"Nombre de postes annexes et non annexes de la 7ème convention collective";
nbp_conv_coll_8;"Nombre de postes annexes et non annexes de la 8ème convention collective";
nbp_conv_coll_9;"Nombre de postes annexes et non annexes de la 9ème convention collective";
nbp_sexecs_11;"Nombre de postes annexes et non annexes pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 1";
nbp_sexecs_12;"Nombre de postes annexes et non annexes pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 2";
nbp_sexecs_13;"Nombre de postes annexes et non annexes pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 3";
nbp_sexecs_14;"Nombre de postes annexes et non annexes pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 4";
nbp_sexecs_15;"Nombre de postes annexes et non annexes pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 5";
nbp_sexecs_16;"Nombre de postes annexes et non annexes pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 6";
nbp_sexecs_21;"Nombre de postes annexes et non annexes pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 1";
nbp_sexecs_22;"Nombre de postes annexes et non annexes pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 2";
nbp_sexecs_23;"Nombre de postes annexes et non annexes pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 3";
nbp_sexecs_24;"Nombre de postes annexes et non annexes pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 4";
nbp_sexecs_25;"Nombre de postes annexes et non annexes pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 5";
nbp_sexecs_26;"Nombre de postes annexes et non annexes pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 6";
nbpna_sexecs_11;"Nombre de postes non annexes pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 1";
nbpna_sexecs_12;"Nombre de postes non annexes pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 2";
nbpna_sexecs_13;"Nombre de postes non annexes pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 3";
nbpna_sexecs_14;"Nombre de postes non annexes pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 4";
nbpna_sexecs_15;"Nombre de postes non annexes pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 5";
nbpna_sexecs_16;"Nombre de postes non annexes pour sexe correspondant à 1 et catégorie socioprofessionnelle correspondant à 6";
nbpna_sexecs_21;"Nombre de postes non annexes pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 1";
nbpna_sexecs_22;"Nombre de postes non annexes pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 2";
nbpna_sexecs_23;"Nombre de postes non annexes pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 3";
nbpna_sexecs_24;"Nombre de postes non annexes pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 4";
nbpna_sexecs_25;"Nombre de postes non annexes pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 5";
nbpna_sexecs_26;"Nombre de postes non annexes pour sexe correspondant à 2 et catégorie socioprofessionnelle correspondant à 6";
nbpna_trim1;"Nombre de postes non annexes en fin de 1er trimestre";
nbpna_trim2;"Nombre de postes non annexes en fin de 2eme trimestre";
nbpna_trim3;"Nombre de postes non annexes en fin de 3ème trimestre";
nbpna3112_aid;"Nombre de postes non annexes au 31/12 avec un contrat aidé";
nbpna3112_app;"Nombre de postes non annexes au 31/12 avec un contrat apprenti";
nbpna3112_aut;"Nombre de postes non annexes au 31/12 avec un contrat autre";
nbpna3112_cdd;"Nombre de postes non annexes au 31/12 avec un contrat CDD";
nbpna3112_cdi;"Nombre de postes non annexes au 31/12 avec un contrat CDI";
nbpna3112_cs10;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 10 (Agriculteurs salariés)";
nbpna3112_cs21;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 21 (Artisans salariés)";
nbpna3112_cs22;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 22 (Commerçants et assimilés, salariés de leur entreprise)";
nbpna3112_cs23;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 23 (Chefs d'entreprises de 10 salariés ou plus)";
nbpna3112_cs31;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 31 (Professions libérales exercées sous statut salarié)";
nbpna3112_cs33;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 33 (Cadres de la fonction publique)";
nbpna3112_cs34;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 34 (Professeurs, professions scientifiques)";
nbpna3112_cs35;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 35 (Professions de l'information, des arts et des spectacles)";
nbpna3112_cs37;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 37 (Cadres administratifs et commerciaux d'entreprises)";
nbpna3112_cs38;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 38 (Ingénieurs et cadres techniques d'entreprises)";
nbpna3112_cs42;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 42 (Professeurs des écoles, instituteurs et professions assimilées)";
nbpna3112_cs43;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 43 (Professions intermédiaires de la santé et du travail social)";
nbpna3112_cs44;"Nombre de postes non annexes au 31/12 pour la catégorie socioprofessionnelle 44 (Clergé, religieux)";
