Database,Table,Variable,Label,Type,Nomenclature
RA_2020,IDADMIN,NOM_DOSSIER,Numéro interne de dossier,string,
RA_2020,IDADMIN,SIRET_1,Numéro Siret initialisé,string,
RA_2020,IDADMIN,SIRET,Numéro Siret après collecte,string,
RA_2020,IDADMIN,PACAGE_1,Numéro PACAGE initialisé,string,
RA_2020,IDADMIN,PACAGESURF2020,PACAGE initialisé utilisé pour une déclaration de surfaces 2020,string,
RA_2020,IDADMIN,PACAGE,Numéro PACAGE final,string,
RA_2020,IDADMIN,EDE_1,Numéro EDE final 1,string,
RA_2020,IDADMIN,EDE_2,Numéro EDE final 2,string,
RA_2020,IDADMIN,EDE_3,Numéro EDE final 3,string,
RA_2020,IDADMIN,EDE_4,Numéro EDE final 4,string,
RA_2020,IDADMIN,EDE_5,Numéro EDE final 5,string,
RA_2020,IDADMIN,EDE_6,Numéro EDE final 6,string,
RA_2020,IDADMIN,EDE_7,Numéro EDE final 7,string,
RA_2020,IDADMIN,EDE_8,Numéro EDE final 8,string,
RA_2020,IDADMIN,EDE_9,Numéro EDE final 9,string,
RA_2020,IDADMIN,EDE_10,Numéro EDE final 10,string,
RA_2020,IDADMIN,EDE_11,"Identifiant EDE, final",string,
RA_2020,IDADMIN,EDE_12,"Identifiant EDE, final",string,
RA_2020,IDADMIN,EDE_13,"Identifiant EDE, final",string,
RA_2020,IDADMIN,EDE_14,"Identifiant EDE, final",string,
RA_2020,IDADMIN,EDE_15,"Identifiant EDE, final",string,
RA_2020,IDADMIN,EDE_16,"Identifiant EDE, final",string,
RA_2020,IDADMIN,EDE_17,"Identifiant EDE, final",string,
RA_2020,IDADMIN,EDE_18,"Identifiant EDE, final",string,
RA_2020,IDADMIN,EVV_1,Numéro(s) EVV final 1,string,
RA_2020,IDADMIN,EVV_2,Numéro(s) EVV final 2,string,
RA_2020,IDADMIN,EVV_3,Numéro(s) EVV final 3,string,
RA_2020,IDADMIN,IMPUT_NR_TOT,Indicatrice d'imputation de la non réponse totale (dossiers entièrement imputés),float64,
RA_2020,EXPLOITATIONS,NOM_DOSSIER,Numéro interne de dossier,string,
RA_2020,EXPLOITATIONS,TYPE_QUESTIONNAIRE,Type de questionnaire,string,EXPLOITATIONS__TYPE_QUESTIONNAIRE
RA_2020,EXPLOITATIONS,SEUIL_IFS,Respect des seuils Eurostat,bool,
RA_2020,EXPLOITATIONS,CHAMP_GEO,Champ géographqiue du siège de l'exploitation (4 modalités),string,EXPLOITATIONS__CHAMP_GEO
RA_2020,EXPLOITATIONS,COEF_F,Coefficient d'extrapolation des données des modules,float64,
RA_2020,EXPLOITATIONS,NUMSTRATE,CHI,float64,
RA_2020,EXPLOITATIONS,STRATE,Strate de l'exploitation (avec lettres explicites),float64,
RA_2020,EXPLOITATIONS,SIEGENAT,Nature du siège (lieu principal de production),string,EXPLOITATIONS__SIEGENAT
RA_2020,EXPLOITATIONS,SIEGE_CODE_COM,Commune du siège (lieu principal de production),string,
RA_2020,EXPLOITATIONS,SIEGE_LIEUDIT,Lieu-dit du siège (lieu principal de production),string,
RA_2020,EXPLOITATIONS,SIEGE_LIEUDIT_CODE_DOM,"Code du Lieu-dit du siège (lieu principal de production), pour les DOM",string,
RA_2020,EXPLOITATIONS,SIEGE_LIB_COM,Libellé Commune du siège (lieu principal de production),string,
RA_2020,EXPLOITATIONS,SIEGE_DEP,Département du siège (lieu principal de production),string,
RA_2020,EXPLOITATIONS,SIEGE_LIB_DEP,Libellé de la région du siège (lieu principal de production),string,
RA_2020,EXPLOITATIONS,SIEGE_REG,Région du siège (lieu principal de production),string,
RA_2020,EXPLOITATIONS,SIEGE_LIB_REG,Libellé de la région du siège (lieu principal de production),string,
RA_2020,EXPLOITATIONS,GEO_LCT,Coordonnées géographiques du siège de l'exploitation,string,
RA_2020,EXPLOITATIONS,REGL_1305_2013,Zonage ICHN,string,
RA_2020,EXPLOITATIONS,RDEV_15_02,"Services de conseil, services d'aide à la gestion agricole et services de remplacement sur l'exploitation L'exploitation agricole a bénéficié de mesures de développement rural visées à l'article 15 du règlement (UE) no 1305/2013.",bool,
RA_2020,EXPLOITATIONS,RDEV_16_03,Systèmes de qualité applicables aux produits agricoles et aux denrées alimentaires L'exploitation agricole a bénéficié de mesures de développement rural visées à l'article 16 du règlement (UE) no 1305/2013.,bool,
RA_2020,EXPLOITATIONS,RDEV_17_04,Investissements physiques L'exploitation agricole a bénéficié de mesures de développement rural visées à l'article 17 du règlement (UE) no 1305/2013.,bool,
RA_2020,EXPLOITATIONS,RDEV_18_05,Reconstitution du potentiel de production agricole endommagé par des catastrophes naturelles et des événements catastrophiques et mise en place de mesures de prévention appropriées L'exploitation agricole a bénéficié de mesures de développement rural visées à l'article 18 du règlement (UE) no 1305/2013.,bool,
RA_2020,EXPLOITATIONS,RDEV_19A1_061,"Aide au démarrage d'entreprises pour les jeunes agriculteurs L'exploitation agricole a bénéficié de mesures de développement rural visées à l'article 19, point a) i), du règlement (UE) no 1305/2013.",bool,
RA_2020,EXPLOITATIONS,RDEV_19A3_063,"Aide au démarrage pour le développement des petites exploitations L'exploitation agricole a bénéficié de mesures de développement rural visées à l'article 19, point a) iii), du règlement (UE) no 1305/2013.",bool,
RA_2020,EXPLOITATIONS,RDEV_21_08,Investissements en faveur du développement des zones forestières et de l'amélioration de la viabilité des forêts L'exploitation agricole a bénéficié de mesures de développement rural visées à l'article 21 du règlement (UE) no 1305/2013.,bool,
RA_2020,EXPLOITATIONS,RDEV_28_10,L'exploitation agricole a bénéficié de mesures de développement rural visées à l'article 28 du règlement (UE) no 1305/2013.,bool,
RA_2020,EXPLOITATIONS,RDEV_29_11,Agriculture biologique L'exploitation agricole a bénéficié de mesures de développement rural visées à l'article 29 du règlement (UE) no 1305/2013.,bool,
RA_2020,EXPLOITATIONS,RDEV_31_13,Paiements en faveur des zones soumises à des contraintes naturelles ou à d'autres contraintes spécifiques L'exploitation agricole a bénéficié de mesures de développement rural visées à l'article 31 du règlement (UE) no 1305/2013.,bool,
RA_2020,EXPLOITATIONS,RDEV_36_17,Gestion des risques L'exploitation agricole a bénéficié de mesures de développement rural visées à l'article 36 du règlement (UE) no 1305/2013.,bool,
RA_2020,EXPLOITATIONS,STATUT,Statut juridique du siret saisi,string,
RA_2020,EXPLOITATIONS,PBSTOT_COEF17,"Production brute standard, coefficients PBS 2017",string,
RA_2020,EXPLOITATIONS,CDEX_COEF2017,"Classe de dimention économique, coefficients PBS 2017",string,
RA_2020,EXPLOITATIONS,DIMECO_COEF2017,"Dimention économique, coefficients PBS 2017",string,
RA_2020,EXPLOITATIONS,OTE64_COEF2017,"Orientation économique, coefficients PBS 2017 (64 postes)",string,
RA_2020,EXPLOITATIONS,OTEFDD_COEF17,"Orientation économique, coefficients PBS 2017 (nomenclature détaillée)",string,
RA_2020,EXPLOITATIONS,OTEFDA_COEF17,"Orientation économique, coefficients PBS 2017 (nomenclature agrégée)",string,
RA_2020,EXPLOITATIONS,ETP_REF,"Equivalent Temps Plein, du REF",float64,
RA_2020,EXPLOITATIONS,ETP_CHEF_COEXPL,Equivalent Temps Plein des chefs et coexploitants,float64,
RA_2020,EXPLOITATIONS,ETP_MO_FAM,"Equivalent Temps Plein, main d'œuvre familiale (hors chefs et coexpl)",float64,
RA_2020,EXPLOITATIONS,ETP_MO_NFAM,"Equivalent Temps Plein, main d'œuvre non familiale (hors chefs et coexpl)",float64,
RA_2020,EXPLOITATIONS,ETP_MONP,"Equivalent Temps Plein, main d'œuvre occasionnelle",float64,
RA_2020,EXPLOITATIONS,ETP_PRESTA_ECH,Equivalent Temps Plein des prestataires ,float64,
RA_2020,EXPLOITATIONS,ETPTOT_HPRESTA,"Equivalent Temps Plein, total, hors prestataires",float64,
RA_2020,EXPLOITATIONS,UGBAG.TOT,"UGB totaux, coef alimentation grossière",float64,
RA_2020,EXPLOITATIONS,UGBTA.TOT,"UGB totaux, coef alimentation totale",float64,
RA_2020,EXPLOITATIONS,UGBPAC.TOT,"UGB totaux, coef PAC",float64,
RA_2020,EXPLOITATIONS,UGBIFS.TOT,"UGB totaux, coef IFS (nouveau règlement Eurostat)",float64,
RA_2020,EXPLOITATIONS,UGBAG.BOV,"UGB totaux, coef alimentation grossière, BOVINS",float64,
RA_2020,EXPLOITATIONS,UGBTA.BOV,"UGB totaux, coef alimentation totale, BOVINS",float64,
RA_2020,EXPLOITATIONS,UGBPAC.BOV,"UGB totaux, coef PAC, BOVINS",float64,
RA_2020,EXPLOITATIONS,UGBIFS.BOV,"UGB totaux, coef IFS (nouveau règlement Eurostat), BOVINS",float64,
RA_2020,EXPLOITATIONS,UGBAG.OVI,"UGB totaux, coef alimentation grossière, OVINS",float64,
RA_2020,EXPLOITATIONS,UGBTA.OVI,"UGB totaux, coef alimentation totale, OVINS",float64,
RA_2020,EXPLOITATIONS,UGBPAC.OVI,"UGB totaux, coef PAC, OVINS",float64,
RA_2020,EXPLOITATIONS,UGBIFS.OVI,"UGB totaux, coef IFS (nouveau règlement Eurostat), OVINS",float64,
RA_2020,EXPLOITATIONS,UGBAG.CAP,"UGB totaux, coef alimentation grossière, CAPRINS",float64,
RA_2020,EXPLOITATIONS,UGBTA.CAP,"UGB totaux, coef alimentation totale, CAPRINS",float64,
RA_2020,EXPLOITATIONS,UGBPAC.CAP,"UGB totaux, coef PAC, CAPRINS",float64,
RA_2020,EXPLOITATIONS,UGBIFS.CAP,"UGB totaux, coef IFS (nouveau règlement Eurostat), CAPRINS",float64,
